! ٭٭٭ گریباں گیر برسوں بعد میں نے اسے شہر کے ایک معمولی ہوٹل میں داخل ہوتے ہوئے دیکھا۔
! کو پوچھا تو کاؤنٹر والی لڑکی نے متعلقہ آفس سے کمپیوٹر مشین (جو ٹائپ رائٹر کی طرح ہوتی ہے۔
!! اک خواب وہی تو تھا جو ٹوٹ گیا آخر پل بھر میں گنوا بیٹھا اک عمر کا حاصل تھا۔
!مارچ ء کے دن مولانا خواجہ حسن نظامی کے ہمراہ نواب صاحب نے پہلی بار علامہ اقبال سے ملاقات فرمائی۔
جائے قرار وقت رخصت ایک تیرا دھیان ہو مطمئن دل ہو، قوی ایمان ہو تیری مرضی کے زباں پر ہوں۔
جابر بن عبد اللہ کی روایت سے مسند شریف میں ہے کہ حضور صلی اللہ علیہ و سلم فرماتے ہیں۔
جابر کو شاہیں نے چڑیا سے جینا چھین لیا عزّت داروں سے ماجد زور آور نے جتنا زعم انہیں تھا۔
جاتے جاتے انھوں نے تسبیح کے دانوں پر ہاتھ پھیرا اور فرحت کو زیر لب مسکراتے ہوئے خدا حافظ کہا۔
جاحظ ابو عثمان عمرو بن بحر .ء میں عراق کے شہر بصرہ کے ایک حبشی خاندان میں پیدا ہوئے۔
جارج اور ویل کی شہرہ آفاق تصنیف "1984" میں مستقبل کے ایک ایسے نظام کی صورت گری کی گئی تھی۔
جاسوسی دنیا کے ناول پابندی سے لکھ رہے تھے اور عمران سیریز کا خیال دل میں جڑ پکڑ چکا تھا۔
جامعہ اردو علی گڑھ ( ) ایم اے ( اردو ) ( بھیم راؤ امبیڈکر یونیورسٹی آگرہ ) ۔
جامعہ عثمانیہ کے استاد کی حیثیت سے انہیں طلبہ کے مقالات اور علمی کاموں میں رہ نمائی کرنا ہوتی تھی۔
جامی صاحب کی شخصیت اس کتاب کی مانند تھی جس کے اوراق کسی نے درمیان ہی سے اڑا لئے ہوں۔
جامے سے اس کا بدن تمام یا ستھرائی اور ناز کی گلبرگ کی درست پرویسی بو کہاں کہ جو ہے۔
جان رحمت ﷺ کا بیماروں سے سلوک سرکار رحمت عالم ﷺ کی ذات مقدسہ محبت و شفقت کا مجسمہ تھی۔
جان کے مرثیہ پر تبصرہ کرنے سے قبل یہ ضروری معلوم ہوتا ہے کہ ان کے اشعار درج کئے جائیں۔
جانا بابو سے لے کر یہ کون آج آیا سویرے سویرے دو دن کس طرح علی گڑھ میں گزر گئے۔
جاناں میں بے اعتنائی پہ مائل نہیں ہوں اگر چاہتے ہو تو جھومر بنا لو یہ دل کہہ رہا ہے۔
جانتا ہوں کہ اگر اس چھٹی کے دن بال نہ کٹوائے تو پھر بات گرمی تعطیلات پر جا پڑے گی۔
جانتی ہوں کہ ہر اک وصل دلآرام کے بعد تن پہ اس ہجر ستم گر کے نشانات بہت گہرے ہیں۔
جاندار شاعری کے لیے، فقط معنی کا ابلاغ کافی نہیں ہوتا، چاہے وہ موزوں کلام ہی کے وسیلے سے ہو۔
جاننا چاہئیے کہ یتیم کا مال لینے اور دینے کے وقت گواہ کرنا اور اس کو لکھ لینا مستحب ہے۔
جاننا چاہئے کہ صحابہ کرام کو برا کہنا جرم ہے اور اکبر فواحش (سخت بڑے گنا ہوں) میں سے ہے۔
جانور کے پیچھے دوڑ کراس پر گولی چلانا انتہائی حماقت ہے اور یہ حماقت کرنے میں وہ نمبر ایک ہے۔
جانی لنگڑا:یہ راستے میں مجھے مل گیا تھامیں نے کہا سفر میں دوہوں تو راستہ آسانی سے کٹ جاتا ہے۔
جانے اب کیا کوئی خبر آئے *** تعاقب تو وہ میرا کر رہا ہے مگر پرچھائیوں سے ڈر رہا ہے۔
جانے پرماتما نے ہمارا بدن کیسے بنایا ہے کہ اس کا ہر پور دیکھتا، محسوس کرتا، پھیلتا اور سمٹتا ہے۔
جانے کیسے زمانے کی دھار میں "وہ کم نظر جو آنکھ نہ کھولے غبار میں " آنکھوں میں تاب ہے۔
جانے کیوں دل سے مرے اسکی کسک نہیں جاتی بات گو چھوٹی سی تھی اور وار بھی گہرا نہ تھا۔
جاوید ا کرم بھی اعلی تعلیم یافتہ، خوب رو، خوش فکر اور نئی نسل کی اگلی صف کے شاعر ہیں۔
جاوید رحمانی کے خیال میں شمس الرحمن فاروقی کا غالبؔ پر دوسرا معرکہ آرا مضمون "خدائے سخن میر کہ غالب؟
جاوید صاحب کی شاعری میں کینیڈا اور شمالی امریکہ کے برفانی موسم کی مصورّی جا بہ جا نظر آتی ہے۔
جاوید صاحب کی یہ مختصر نظم " اندر لڑائی ہو، اسی بڑے اور اہم المیے کی نشاندہی کر رہی ہے۔
جاوید صاحب کی یہ نظم اوپر بیان کیے گئے اسی نظریے کو نہایت خوبصورت شعری پیرائے میں پیش کرتی ہے۔
جاڑوں کے دن چھوٹے اور راتیں بڑی گرمیوں کے دن بڑے اور راتیں چھوٹی اسی کی قدرت کا ظہور ہے۔
جاگ جاگ کر جب حواس میرا ساتھ چھوڑنے لگے تو میں نے کمرہ اندر سے بند کیا اور لیٹ گئی۔
جاگتی نیندوں کے سلسلے آنکھیں کھلیں تو رات کے منظر بدل گئے کب حدّت گلاب پہ حرف آنے پائے گا۔
جاگنے کے بعد وہ اپنے اور بچوں کے لئے سویرے کا ناشتہ اور کبھی کبھی دوپہر کا کھانا بناتی تھی۔
جاگیردارانہ نظام کی خرابیاں اس لیے نمایاں ہو رہی تھیں کہ وہ اپنی اصل بنیادوں پر قائم نہیں رہی تھیں۔
جاں بلب مویشیوں کی آرام گاہ بنے ہوئے تھے، جن گھروں سے پھاگ اور بسنت کی الاپیں سنائی دیتی تھیں۔
جاں دی ہے تو جینے کا سلیقہ بھی مجھے دے پھر نیل ہو دو لخت کہ میں ڈوب چلا ہوں۔
جاں پہ نظر سو وہ بھی لے لے اے درد کی رو! کہیں ٹھہر بھی کچھ کچھ ہمیں مانتے ہیں۔
جاہ و رتبہ کی چاہت "مور" ہے، "مرغ" شہوت ہے اور "کوّا" آرزوئے نفس اور درازی عمر کی علامت ہے۔
جاہلیت میں یہ بھی رواج تھا کہ جن چوپایوں کو وہ اپنے معبود ان باطل کے نام کر دیتے تھے۔
جاہلیت کے زمانہ میں کوئی بیوی کو ماں کہہ دیتا تو ساری عمر کے لئے اس سے جدا ہو جاتی۔
جب (اس کی آگ) بجھنے کو ہو گی تو ہم ان کو (عذاب دینے کے لئے) اور بھڑکا دیں گے۔
جب ) میری امت کے بعض لوگ پئیں گے اور اس کا نام شراب کے بجائے کچھ اور رکھیں گے۔
جب آب کو تو پراسرار انجانی جگہوں سے جھرنے ابلتے ہیں اور ریگزاروں میں اندر بہت دور نخلستاں کھلتا ہے۔
جب آدمی کسی وجہ سے مصیبت میں پھنس جاتا ہے تو معمولی لوگ بھی اس کے منہ آنا چاہتے ہیں۔
جب آسمان اور زمین کی ہر چیز اسی کی ہے تو ہر چیز اسی کی مملوک اور غلام ہوئی۔
جب آندھی تھم چکی ہے اور مطلوب کی روح کی ناؤ پر طالب کے بدن کا بوجھ بھاری ہوگیا ہے۔
جب آپ اس گھاٹی پر آئے جہان امیر اترا کرتے ہیں تو آپ اترے اور پیشاب کیا اور وضو کیا۔
جب آپ داخل ہوتے تو وہ لڑکیاں نکل جاتیں اور جب آپ تشریف لے جاتے تو وہ داخل ہو جاتیں۔
جب آپ صلی اللہ علیہ و سلم ہنڈیوں کے پاس سے گزرت تو ان کے الٹا دینے کا حکم دیا۔
جب آپ نے سورۃ کوثر کی تلاوت فرما لی تو فرمایا کہ کیا تم جانتے ہو کہ کوثر کیا ہے؟
جب آپ کو نبوّت عطا کر دی گئی اور اس حالت میں آپ کا کلام فرمانا آپ کا معجزہ ہے۔
جب آپ گھر سے باہر جاتے تو دروازے بند کر جاتے پھر کسی کو اندر جانے کی اجازت نہ تھی۔
جب آپؐ نے ہجرت فرمائی تو چار فرض کی گئیں اور سفر کی نماز اصلی حالت پر چھوڑ دی گئی۔
جب آپﷺان کے پاس آئے تو انہیں بے ہوش پایا، تو آپﷺ نے پوچھا کہ کیا انتقال ہو گیا ہے؟
جب آگ ان کے جسموں کو چھو رہی تھی تو وہ اسی عظیم حقیقت اور پاکیزہ اصول پر کاربند تھے۔
جب ابا نے ان لوگوں کو معاف کر دیا ہے تو ہمیں بھی مین میخ نکالنے کی ضرورت نہیں "۔
جب ابتدائی اور پہلی پیدائش کو مانتے ہو تو پھر دوسری مرتبہ کے پیدا ہونے سے کیوں انکار کرتے ہو؟
جب اس سے اتنا بڑا کپ نہ سنبھالا گیا، تو جی بی نے لپک کر چوبی حصہ خود اٹھا لیا۔
جب اس سے باتیں ہوئے تو معلوم ہوا کہ دو ماہ کے بعد اس کی عمر سال ہو گی۔
جب اس نے حضرت پطرس اور حضرت یحیی کو بیت اللہ میں جاتے دیکھا تو ان سے بھیک مانگی۔
جب اس نے دیکھا کہ پہلے سے موجود چھوٹی مچھلیاں کشتی کے ساتھ لگ کر اسے ایسے ہلا رہی تھیں۔
جب اس نے زمین سے تمہیں پیدا کیا اور جب تم اپنی ماؤں کے پیٹوں میں ابھی جنین ہی تھے۔
جب اس نے شیشے میں اپنے چہرے کا جائزہ لیا تو اس کا دل دھک سا ہو کر رہ گیا۔
جب اس نے فرسٹ ڈویژن میں میٹرک پاس کیا تھا تو رادھا بائی کی خوشی کا کوئی ٹھکانا نہ تھا۔
جب اس نے نمبر پریس کر لیے تو سٹارک نے ہاتھ بڑھا کر لاؤڈ سپیکر کا بٹن پریس کر دیا۔
جب اس کا آجر اس کی یہ ذمہ داری بھی مساویانہ کفالتی تحفظ کی صورت میں اٹھانے پر آمادہ ہو۔
جب اس کا خاتمہ ہوا غزل سکوں جو دل کو نہیں، جاں کو جو قرار نہیں یہ امتحان محبت ہے۔
جب اس کا مریضوں کے معائنہ کا وقت آتا تھا تو وارڈ میں پہلے ہی سے تیاریاں ہونے لگتی تھیں۔
جب اس کو خدا ہی کا خوف اور باپ ہی کا ڈر نہ ہو تو بھلا میں کون بلا ہوں۔
جب اس کے پاس بہت مال و دولت ہو گیا تو اس نے زکوۃ دینے سے بھی انکار کر دیا۔
جب اسلام آیا تو ہمیں اسے منع کر دیا گیا عبدالرزاق نے کہا کہ معمر نے فرمایا کہ مکروہ ہے۔
جب اسے خاص قسم کے خواب آنے لگیں جن میں خاص پانی اچھل کر نکلتا ہے، حضرت علی فرماتے ہیں۔
جب اسے دفن کیا گیا اور فرشتہ اس کے پاس آیا تو یہ سورت اس کے سامنے کھڑی ہو گئی۔
جب اسے عورت کو آمادہ کرنے کی شرط کا سامنا نہ ہو، اور یہ حق اسے تبھی مل سکتا ہے۔
جب اسے معلوم ہوا کہ ہم پیرس جا رہے تو اس نے آگے کی طرف بتایا جدھر لکھا تھا۔
جب اسے وہیں اپنی مرضی کی جاب اور لڑکی دونوں مل گئیں تو یہ سلسلہ بہت جلد موقوف ہو گیا۔
جب اسے یہ کہا جاتا ہے کہ :"کیا تمھارے لیے یہ بہتر نہیں ہے کہ تم ہندوستان واپس چلی جاؤ۔
جب اصل مالک اللہ ہے تو انسان اس کی ملکیت میں اس کی مرضی ہی کے مطابق تصرف کرسکتا ہے۔
جب اعرالی پاشا نے سید افغانی کی سلگائی ہوئی آگ کے شعلوں کو قصر عابدین کے رواقوں تک پہنچا دیا۔
جب الزام لگانے والا خاوند "لعان" کے عمل سے گزرتا ہے تو وہ (کوڑوں کی) سزا سے بچ جاتا ہے۔
جب اللہ کے بندے قرآن کریم کی تلاوت کرتے ہیں تو فرشتے اللہ کے کلام کو غور سے سنتے ہیں۔
جب اللہ کے رسول صلی اللہ علیہ و آلہ و سلم واپس ہوئے تو اونٹوں پر سوار عورتیں گزرنے لگیں۔
جب اللہ کے رسول صلی اللہ علیہ وسلم آخری حج کو گئے تو ان کے ساتھ سوا لاکھ ساتھی تھے۔
جب ام کلثوم نے بھائی کا سر دیکھا تو رونے لگیں اور گریبان چاک کر دیا اور یہ شعر پڑھے۔
جب امام نے نماز سے سلام پھیرا تو میں نے اپنی جگہ پر کھڑے ہو کر نماز شروع کر دی۔
جب امام کسی بستی کے بادشاہ سے صلح کر لے تو کیا یہ صلح وہاں کے تمام لوگوں سے ہو؟
جب امریکہ کے ایک تھنک ٹینک نے "سعودی عرب کو بدی کا محور" قرار دینے کی رپورٹ ریلیز کی تھی۔
جب امیر معاویہ ؓ کے پاس آئے ان کو اس طرح سلام کیا جس طرح بادشاہوں کو کیا جاتا ہے۔
جب امیر وہاں آئے تو خود ابو مخنف کے قول کے مطابق انھیں ملا کہ شہر میں کچھ اختلال نہیں۔
جب ان سے کہا جاتا ہے کہ آؤ تم لوگ ان تعلیمات (مقدسہ) کی طرف جن کو نازل فرمایا ہے۔
جب ان سے، جدا وہ کر نہیں سکتے وہ ایسا کوٹ ہیں کہ جس کے میں استر میں رہتا ہوں۔
جب ان لوگوں نے کہا کہ یوسف اور ان کے بھائی (ابن یامین)ہمارے باپ کی نگاہ میں زیادہ محبوب ہیں۔
جب ان پر یہ بوجھ رکھا گیا تو وہ خود بھی گرے اور اس پاکیزہ عمارت کو بھی لے گرے۔
جب ان کا نشہ اترتا ہے اور آنکھ کھلتی ہے تو وہ چپ چاپ اپنے گھروں کو چل دیتے ہیں۔
جب ان کے قدموں کی دھمادھم فضا میں بالکل ہی ڈوب گئی تو حرامی نے مسکرا کر مجھ سے کہا۔
جب انسان کی زندگی کی یہ تحریر ختم ہو جاتی ہے تو انسان کی زندگی بھی ختم ہو جاتی ہے۔
جب انھوں نے کہا تھا کہ :لیس الکفر الذی یذھبون الیہ "یہ وہ کفر نہیں جو یہ مراد لیتے ہیں۔
جب انہوں نے اس سلسلہ میں نبیؐ سے دریافت کیا تو آپ نے انہیں نماز دہرانے کا حکم نہیں دیا۔
جب انہوں نے پیغمبروں کی تکذیب و مخالفت کی، دیکھ لو! کیا انجام ہوا، سب سازو سامان دھرا رہ گیا۔
جب انہیں (حکومتی معاملات میں) طلب کیا جاتا تو وہ ادھر ادھر ہو کر اس سے بچنے کی کوشش کرتے۔
جب اول اول میرا اظہار لیا گیا تو پہلا سوال مجھ سے یہی پوچھا گیا کہ تیرا رب کون ہے؟
جب اپنے اہل و عیال کو طاعت الہی کے راستہ پر گامزن اور علم نافع کی تحصیل میں مشغول پائے۔
جب اچھا ہو تو عمرہ کر کے احرام کھولے پھر آئندہ سال حج کرے اور موافق طاقت کے ہدی دے۔
جب اگلا سال آیا حضرت محمد صلی اللہ علیہ و سلم نے لوگوں کو حکم دیا کہ جہاد کیلئے چلو۔
جب ایسا ارادہ کر کے اوپر آسمانوں کے قریب پہنچنے کی کوشش کرتے ہیں تو جس طرف سے جاتے ہیں۔
جب ایسے کھرے قلوب مہیا ہو گئے، اور اللہ تعالی نے دیکھ لیا کہ انہوں نے جو سودا کیا ہے۔
جب ایک ایسی چیز کو دوسری پر قیاس کیا جائے جن میں فیصلہ کرنے کی کوئی "مشترک" بنیاد پائی جائے۔
جب ایک خوبصورت داستانی ماحول میں عطارد شہزادے کی تصویر بناتا ہے اور مشتری اس پر عاشق ہو جاتی ہے۔
جب ایک کنکری پانی کی تہہ تک پہنچ جاتی تو وہ دوسری اٹھا کر پانی کی سطح پر چھوڑ دیتی۔
جب بات کاروں اور ٹریفک کی ہو رہی ہے تو کچھ جان کاری پڑھنے والوں کو اور دے دی جائے۔
جب بات کرے جھوٹ بولے جب وعدہ کرے بیوفائی کرے، جب جھگڑا کرے گالیاں بکے، ایک اور حدیث میں ہے۔
جب باپ زندہ تھا تو چچی بھی اس پر جان چھڑکتی تھی اور چچا بھی بڑی محبت سے پیش آتا۔
جب باہر نکل گیا تو فرمایا کہ کاش تم اس کو حکم دیتے کہ وہ اسے دھو ڈالے اپنے سے۔
جب بتوں کی طرف سے کھانے کے متعلق کچھ جواب نہ ملا تو کہنے لگا کہ تم بولتے کیوں نہیں۔
جب بختیار نے اپنا سوال دہرایا تو نیاز نے جواب دیا "نہیں، میں نہیں بتا سکتا کہ وہ کہاں ہیں۔
جب بعد میں اسے معلوم ہوتا ہے کہ مجھ سے وہ قیمتی بات کہنے والا کوئی ایرا خیرا نہیں تھا۔
جب بولتا ہے تو مجھ کو دبا لیتا ہے اور لوگ بھی اسی کی ہاں میں ہاں ملا دیتے ہیں۔
جب بچے کی نظر ٹھیک ہو جاتی ہے تو وہ متحرک چیزوں کو خصوصا جو ہوا سے ہل رہی ہوں۔
جب بھکاری نے دیکھا کہ نوے روپے سے کم پر وہ مان کر نہیں دے رہا تو اس نے کہا۔
جب بھی اس کے سر میں درد اٹھتا وہ نہ تو اس کا علاج کرتا نہ کوئی دوا گولی لیتا۔
جب بھی انہیں حکم مل جائے کیوں کہ لمحے بڑے تیز بھی ہیں اور پابند رب ازل اور ابد ہیں۔
جب بھی اپنے باپ کو دیکھ کر روتی تھی، جوان ہوئی تب بھی اس کی آنکھوں سے آنسو بہتے تھے۔
جب بھی دونوں ایک دوسرے کو دیکھتے اور دونوں کی نظریں ملتیں تو وہ ایک دوسرے کو مجرم تصور کرتے۔
جب بھی مصرع موزوں ہے اور مصنف کا مرتبہ تو بڑا ہے، جو شخص نظم الفاظ میں مشق رکھتا ہے۔
جب بھی ملاقات ہوئی باتیں بڑی بڑی کرتے رہے لیکن جو بھی قدم اٹھا یا وہ غلط سمت میں اٹھایا۔
جب بھی وہ ایک دوسرے کی طرف سے بے پرواہ اور ایک دوسرے کے احوال سے اتفاق کر لیں گے۔
جب بھی کوئی آدمی دہشت گردوں کے ہاتھوں مارا جاتا اس کے خلاف اسی طرح کا بند پکارے جاتے تھے۔
جب بہت شور ہوتا ہے تو یہ کہتے ہیں کہ کان پڑی آواز سنائی نہیں دیتی کان پھٹے جاتے ہیں۔
جب تری خواہش کے بادل چھٹ گئے وہ جو اپنے مکان چھوڑ گئے بے انتہائی شیوہ ہمارا سدا سے ہے۔
جب تسلیم کیا جائے کہ حضرت سلیمان علیہ السلام کی شریعت میں تصویر سازی کی اجازت تھی جو صحیح نہیں۔
جب تم ایمان لے آؤ اس لئے کہ اسلام لانے کے بعد پہلے کے گناہ بخش دیئے جاتے ہیں۔
جب تم مالی استطاعت رکھو ) نیز مجھ کو چاشت کی نماز کاحکم (وجوب کے طور ) دیا گیا ہے۔
جب تم مسجد میں نماز پڑھنے کے لیے کھڑے ہوتے ہو اور یہ مسجد راستے کے داہنے کنارے پر ہے۔
جب تم میں سے کوئی ذبح کرنا چاہے تو وہ اپنی چھری تیز کر لے اور ذبیحہ کو آرام دے۔
جب تم نادانی میں پھنسے ہوئے تھے تو تم نے یوسف اور اس کے بھائی کے ساتھ کیا کیا تھا۔
جب تم نے کہا تھا کہ ہم نے سنا اور مانا اور ڈرتے رہو اللہ سے اللہ خوب جانتا ہے۔
جب تمام افعال میں برابری ظاہر کرے کہ اس طرح حق و باطل میں اس نے برابری کو ظاہری کیا۔
جب تمہاری آنکھ سالم ہے تو تمہارا بدن بھی روشن ہے اگر خراب ہے تو تمہارا بدن بھی تاریک ہے۔
جب تمہارے ساتھ کھاتے پیتے ہیں تو اپنی طرف سے محبت کی ضیافت کر کے عیش و عشرت کرتے ہیں۔
جب تندرست ہو گئے تو اونٹ کا گوشت کھانا اور اونٹنی کا دودھ پینا جو آپ کو پسند خاطر تھا۔
جب تو زندگی پا گیا تنومند ہو گیا لباس مکان مل گیا تو لگا سمیٹنے اور میری راہ سے روکنے؟
جب تو مجھ کو رخصت کرنے دروازے تک آئی تھی اور تری بھیگی آنکھوں میں میرا چہرہ لرز رہا تھا۔
جب تو کوئی برائی کرے تو بائیں جانب والا دائیں والے سے اس کے لکھنے کی اجازت طلب کرتا ہے۔
جب تک آپ نے جمرہ عقبہ کی رمی (نہ) کی میں مسلسل سنتا رہا کہ آپ تلبیہ کہہ رہے ہیں۔
جب تک اس کا یقین نہ ہو جائے کہ فلاں مقام پر لازما غلطی کتابت ہو یا غلطی طباعت ہے۔
جب تک اس کام یعنی نماز جمعہ سے فارغ نہ ہو لیں، دوسرے کام میں مشغول ہونا مناسب نہیں ہے۔
جب تک اس کی تعبیر نہ دے دی جائے جب تعبیر دے دی گئی پھر وہ واقع ہو جاتا ہے۔
جب تک استعمار (کافر) نے 1342 ھ بمطابق 1942ء میں مصطفی کمال کے ذریعے خلافت کا خاتمہ نہیں کیا تھا۔
جب تک اللہ کے سامنے پیش نہ کیا جاؤں گا اور مجھے اس کا ایک قطرہ بھی نہ پہنچے گا۔
جب تک انزل کی ٹیم کی ایک اننگ شروع ہو تماشائیوں میں جھنگا پہلوان کی امپائرنگ پر تبصرے چلتے رہے۔
جب تک تحقیق سے ہمیں یہ معلوم نہ ہو جائے گا کہ فلاں مسئلے میں کوئی سنت ثابت نہیں ہے۔
جب تک تو نماز سے فارغ نہ ہو اور دل میں یہ خیال رہے کہ میں نے پوری نماز پڑھی۔
جب تک راویوں کی طرف سے کوئی جھوٹ ثابت نہیں ہوتا تو ان کے صدق کی ترجیح لازم ہو گی۔
جب تک فاروقی . الہ آباد کے آفیسر انچارج رہے ان کے آفس میں بہر ملاقات میرا جانا آنا رہا۔
جب تک مجموعی انسان کی دریافت مکمل نہیں ہوتی تب تک انسان کی تخلیق کا اندازہ لگانا نا ممکن ہے۔
جب تک می شنگ اور زوباؤ کو خطرے کا احساس ہوا، مشین عین ان کے سر پر پہنچ چکی تھی۔
جب تک میرے اہل بیت میں سے میرے ہی نام کا کوئی شخص پورے عرب پر حکمرانی نہیں کرے گا۔
جب تک میں فیصلہ کرتی اور امیت کو بتاتی، وہ ہم لوگوں کے قریب سے گزر کر آگے نکل گئے۔
جب تک نماز شروع کرے میں نے کہا ہاں یہ تو ہے! تو انھوں نے کہا پھر یہی سمجھ لو۔
جب تک وہ خود اپنے دلوں کی حالت نہ بدلیں اور اس لیے کہ اللہ سننے والا جاننے والا ہے۔
جب تک وہ وہاں سے نکل نہ جائیں پھر اگر وہ نکل گئے تو ہم یقینا داخل ہو جائیں گے۔
جب تک ٹیکنالوجی اور مادی تمدن ترقی پذیر رہے گا، اور لوگ صلح کے بہانے مشغول جنگ رہیں گے۔
جب تک کہ اس شہر میں نہ لڑائی ہو جس کی ایک طرف سمند رمیں اور دوسری خشکی میں ہے۔
جب تک کہ ان کے رہنے والے ظالم نہ ہو جاتے  تم لوگوں کو جو کچھ بھی دیا گیا ہے۔
جب تک کہ ایک صحابی بھی دنیا میں باقی رہا یعنی ھ تک دوسرا قرن کہ تابعین کا قرن ہے۔
جب تک کہ تو مجھ سے ان تمام مصیبتوں کو دور نہ کر دے جو مجھ پر نازل ہوئی ہیں۔
جب تک کہ خدا بخشے کامل صاحب نے کسی سبق کے معانی میں "اب تک" کے معنی نہ لکھا دئے۔
جب تک کہ دوسرے بدکاروں کے ساتھ وہ بھی دوزخ کی آگ کے لباس کا عذاب نہ بھگت لے گا۔
جب تک کہ مجھے ممانعت نہ کی جائے تو اللّہ تعالی نے یہ آیت نازل فرما کر ممانعت فرما دی۔
جب تک کہ مسلمان ایسی قوم سے قتال نہ کر لیں جو چھوٹی آنکھوں والے، چپٹی ناکوں والے ہوں گے۔
جب تک کہ وہ حق بات سن نہ لے اگر وہ تمہاری بات مان لیتا ہے تو تمہارا بھائی ہے۔
جب تک کہ وہ خوش رنگ نہ ہو جائیں عرض کیا گیا کہ خوش رنگ ہونے کا کیا مطلب ہے؟
جب تک کہ وہ خوش رنگ نہ ہو جائے امام ترمذی نے کہا ہے کہ یہ حدیث حسن غریب ہے۔
جب تک کہ وہ شخص زندہ رہے اور اس کے مرنے کے بعد بھی وہ شئی اس شخص کی ہے۔
جب تک ہمارے پاس موسی لوٹ کے آئیں (92) موسی نے کہا، اے ہارون! تمہیں کس بات نے روکا تھا۔
جب تک یہ ثابت نہ ہو جائے کہ یہی نبی صلی اللہ علیہ والہ وسلم کا جاری کردہ قانون ہے۔
جب تیر شکار کو چھیدتا اور پار نکل جاتا ہے تو چاہے اس کے حلق سے نیچے نہ جائے گا۔
جب تین آدمیوں سے زیادہ ایک جگہ ہوں تو دو آدمیوں کے آہستہ بات کرنے میں کچھ حرج نہیں ہے۔
جب جسم کی پوری نشوونما ہو جائے گی تو اللہ تعالی حضرت اسرافیل کو صور پھونکنے کا حکم دے گا۔
جب حریت میں ناول شروع ہوا تھا تو حریت گھر میں آنے لگا، لیکن انہوں نے جنگ پڑھنا نہیں چھوڑا۔
جب حضرت صلی اللہ علیہ و سلم مدینہ ہجرت کر آئے تب وہ جہاز والے صحابہ بھی سلامتی سے آملے۔
جب حضرت یوسف کا جواب سن کر مایوس ہو گئے تو مجمع سے ہٹ کر آپس میں مشورہ کرنے لگے۔
جب حیرت کو شہنشاہ کو کب تلار کے سائے میں لیتا ہے تو بہار بے چین بھی ہو جاتی ہے۔
جب حیض اور نفاس کا خون بند ہو جائے تو پاکیزگی حاصل کرنے کے لئے طہارت یعنی غسل ضروری ہے۔
جب خطاب میں ان چار امور میں سے ایک موجود ہونے کی کوئی دلیل ہو: صفت، عدد، غایت یا شرط۔
جب دربار علی رضی اللہ تعالی عنہ میں آیا تو آپ نے بڑی دیر بعد اسے داخلے کی اجازت دی۔
جب درمیان میں شیخ جمن کی بیوہ خالہ آتی ہے اور جمن اور الگو چودھری کے درمیان کشیدگی بڑھتی ہے۔
جب دم بھر سے زیادہ ہم غم نہیں کرتے تو روشنی بھی دم بھر سے زیادہ ہونے کی ضرورت نہیں۔
جب دن چڑھ گیا یا دوپہر ہو گئی تو آپ صلی اللہ علیہ و آلہ و سلم واپس تشریف لائے۔
جب دن ہوتا ہے تو تازہ دم ہو کر اس کے اجالے میں اپنے کاروبار میں مشغول ہو جاتے ہیں۔
جب دو جام کی نوبت پہنچی چار لڑکے امرد صاحب جمال زلفیں کھولے ہوئے مجلس میں آئے، گانے بجانے لگے۔
جب دو متواتر جملے یا ان کے اجزا ایک دوسرے کا معکوس ہوں تو اسے عکس متوازیت کہتے ہیں۔
جب دوسری زبان کی لفظوں پر ایسی قدرت ہو جب کہیں اپنی زبان میں اس کا لانا حسن رکھتا ہے۔
جب دونوں اطمینان سے بیٹھے تو مولوی کے پوچھنے پر اس نے مختصر سے الفاظ میں اپنا قصہ سنا دیا۔
جب دونوں کرنسی مختلف ہوں تو بغیر کسی قید (شرط)کے اس تبادلہ کے نرخ میں تبدیلی کی اجازت ہو گی۔
جب دوپہر ہوئی، برخاست ہو کر اندرون محل داخل ہوئے، خاصہ نوش جان فرما کر خواب گاہ میں آرام کیا۔
جب دین اور ملت کا یہ نظام ہو گا کہ تم مسلمانوں کے جدا جدا کئی لشکر ہو جائیں گے۔
جب دیکھا کہ وہ ہاتھ نہیں ڈالتے تو ڈر گئے اور کہا کہ ہمیں تو آپ سے ڈر لگنے لگا۔
جب دیکھتے کہ انکی مجلس میں تین سے زیادہ لوگ جمع ہو گئے تو انہیں چھوڑ کر خود چل دیتے۔
جب ذرا بار آور ہوا تو خدا جھوٹ نہ بلوائے، آدمی بکری بن کر لاکھوں من بونٹ چر جاتے ہیں۔
جب رخصت ہو کر باہر آیا تو سودائی کی طرح کہتا کچھ تھا اور منہ سے سدے کچھ نکلتا تھا۔
جب رسول اللہ صلی اللہ علیہ و سلم نے انہیں منع فرما دیا تو انہوں نے وہ پردہ اتار ڈالا۔
جب رسول اللہ صلی اللہ علیہ والہ وسلم نے کسی بات سے منع فرمایا تو وہ حرام ہو جائے گی۔
جب روشنی ہوتی ہے تو ایک لڑکا کسی سجے سجائے ڈرائنگ روم میں جوتے کو پالش کرتا دکھائی دیتا ہے۔
جب زکوۃ کی مد میں کوئی مال موجود نہ ہو تو ان پر کوئی چیز خرچ نہیں کی جائے گی۔
جب ساتویں سمسٹر میں کام یابی پر اس کے بدن سمندر میں مسرّتوں کے خوش رنگ بلبلے تیر رہے تھے۔
