,      . بہت وسیع موضوع ہے اور میں محنت سے بھاگنے والا۔
یعنی الفاظ کے باہمی رشتے اور معنیاتی سلسلے محاورات کو اور عام زبان کے ساتھ ان کے رشتوں کو سمجھنے میں یہ صورت حال بہت مدد دیتی ہے۔
’’میں تحریر و تصنیف کے جملہ آداب سے واقف ہوں، میرے قلم سے بے ادبی شاذ و نادر ہی ہو سکتی ہے، میں فحش نگار نہیں افسانہ نگار ہوں۔
17 کیا وہ خالق جو (اتنا کچھ) پیدا فرمائے اس کے مثل ہو سکتا ہے جو (کچھ بھی) پیدا نہ کر سکے، کیا تم لوگ نصیحت قبول نہیں کرتے 18۔
اور اس کے دونوں گالوں پر وہ گرم اور نم آلود بوسے اور دن میں کتنی کتنی مرتبہ اس کے منہ سے شراب کی تیز بدبو تو ضرور آتی تھی۔
اوروہی (اللہ) ہے جس نے رات اور دن کو پیدا کیا اور سورج اور چاند کو (بھی)، تمام (آسمانی کرّے) اپنے اپنے مدار کے اندر تیزی سے تیرتے چلے جاتے ہیں۔
جذبوں سے بھری ہوئی رنگ پچکاری جیسی، دہشت سے نکلی ہوئی چیخ جیسی اور حیرت کے اس لمحے کی طرح جو عین صلیب پر اترے اور زندگی کا جوہر کشید کرے۔
سورۃ الْإسْراء / بنی إسْرآئیل سورت : مکی ترتیب تلاوت : 17 ترتیب نزولی : 50 رکوع : 12 آیات : 111 پارہ نمبر : 15 بسم اللہ الرحمن الرّحیم 1۔
شکیل الرحمن نے پریم چند کی کہانیوں کی روشنی میں بچوں کی نفسیات، حالات کا نفسیاتی رد عمل، اس کے اثرات اور حسی تصورات کے حوالے سے اچھی بحث کی ہے۔
قرآنی اصطلاح "رتق" کی سائنسی تفسیر ہمیں اس بات سے آگاہ کرتی ہے کہ بے پناہ توانائی نے کائنات کو اس وقت ’ابتدائی کمیتی اکائی‘ کی صورت میں باندھ رکھا تھا۔
قیلولہ دوپہر کے سونے کو کہتے ہیں، حاصل یہ ہے کہ وہ آگ شب و روز ان کے ساتھ رہے گی اور کسی بھی وقت ان سے جدا نہیں ہو گی۔
مصوّر : یہ نظم پانچ بندوں پر مشتمل ہے اور ہر بند آٹھ مصرعوں سے تشکیل دیا گیا ہے، مگر ان مصرعوں کی ترتیب سے بند کی ہیئت بدل گئی ہے۔
پر فتاوی اور شرعی فیصلہ جات کے ’فتاوی قاضی خان‘، ’فتاوی بزازیہ‘، ’فتاوی ابن تیمیہ‘، ’فتاوی امام نووی‘، ’فتاوی امام سبکی‘ اور ’فتاوی الہندیہ‘ جیسے مجموعات مرتب ہوئے۔
یوں نہ دیکھیں مجھے ترحّم سے اور کوئی عذاب دے دیجئے . طارقؔ تو یہی کہہ کے مشیت کا بھرم رکھ اچھا چلو قسمت میں مری غم ہیں تو ہوں گے۔
یہ واعظ خوش کلام، اللہ اللہ شرمندۂ ذوق عام، اللہ اللہ افسانہ تراش اور حق گو، توبہ! دیں اس کو بھی جام، اللہ اللہ لاریب کہ رہنمائے دوراں تو ہے۔
! (بخاری ) تشریح میرک رضی اللہ عنہ کہتے ہیں کہ ابن ماجہ اور احمد نے اپنی روایت میں "" رنگین"" کے ساتھ مہندی اور وسمہ کے الفاظ بھی نقل کئے ہیں۔
! آمد و خرچ کا حساب ان کا محبوب مشغلہ بھی ہے اور ہائی اسکول میں ریاضی میں امتیاز کے ساتھ کامیابی یعنی کا وہ پورا فائدہ ابھی تک اٹھاتے ہیں۔
! اب رہا کائنات کی جانب سے انسان کے مامون و مصؤن رہنے کی صورت تو وہ صرف انسان اور کائنات کی حرکت میں باہمی مطابقت اور یک جہتی پر موقوف ہے۔
! اور اگر کسی نے اپنے باپ یا اپنے دادا کو اور یا اپنی ماں کو ذبح کرنے کی نذر مانی تو تمام علماء کے نزدیک اس کی نذر لغو ہو گی۔
! اگر اللہ تعالی کی راہ میں جہاد، حج اور اپنی والدہ کے ساتھ نیکی کرنے کا مسئلہ نہ ہوتا تو میں غلام ہونے کی حالت میں فوت ہونے کو پسند کرتا۔
! تو جا اور جنت میں داخل ہو، وہاں تیرے لئے دنیا ( کی مسافت ) کے بقدر اور اس سے دس گنی مزید جگہ تیرے لئے ( مخصوص کر دی گی۔
! رشتۂ در گردنم افگندہ دوست مہ برد ہر جا کہ خاطرخواہ اوست چلو! اتنی دیر میں‌اورسب حوریں بھی آ گئیں اور زمرد حسین کو ساتھ لیے قصر دری کے باہر نکلی۔
! ساتوں سمندر اسی وجود میں ہیں، اور تمام ستارے اسی جگہ چمک دمک رہے ہیں، ان ستاروں کی کوئی تعداد بتا نہیں سکتا، لاتعداد انگنت ستاروں کی روشنی پھیلی ہوئی ہے۔
! شبانہ کو لگتا ہے کہ اس سے گلے ملنے والا یہ بوڑھا شاید سٹیا گیا ہے، وہ حیرت سے لوگوں کو دیکھتے ہوئے مسکرا کر کہتی ہے: شکریہ دادا جی شکریہ۔
! نہ جانے کیوں جولیا سچ مچ اس کے لئے مغموم ہو گئی تھی! ﴿﴾ ﴿﴾ ﴿﴾ جوزف بس چلتا ہی رہا! اسے احساس نہیں تھا کہ وہ کتنا چل چکا ہے۔
! وہ شخص ( انتہائی تحیر واستعجاب کے عالم میں ) کہے گا کہ ( پروردگار !) کیا آپ مجھ سے مذاق کررہے ہیں یا یہ کہے گا کہ آپ مجھ سے۔
! ٭٭٭ زندگی کا تسلسل (پانچوں بچے) میں نے اپنی دیانت کی سب دولتیں اپنی اولاد کو دیں فقط اور باقی عزیزوں کو صرف اور صرف اپنے حصے کا گھر لکھ دیا۔
! پھر جولیا نے دیکھا کہ وہ کار میں بیٹھ کر اسے اسٹارٹ کرنے کی کوشش کر رہا ہے! تھوڑی ہی دیر بعد وہ انجن کھولے اس پر جھکا ہوا نظر آیا۔
!! اعتبار کیا ! میں بچے کے آنسوؤں کی طرح ہو گئی اور ابھی تک آنکھوں کی طرح ہوں اور ابھی تک مسلمان ہوں! زندگی کی چھاؤں میں کوئی سورج نہیں ہے۔
!! پروفیسر بشیر احمد سوز قلم قبیلے کے سارے لوگو قلم اٹھؤ کہ ایک لمحہ زمیں کے سینے کو چاک کرنے وجود ہستی کو خاک کرنے فلک سے نیچے اتر گیا ہے۔
!مقصد یہ تھا کہ ان باتوں کی بشارت تمام صحابہ سن لیں اور اس ضمن میں ان دونوں شکایت کنندہ کو جواب بھی حاصل ہو جائے جس سے ان کو تسلی ہو۔
"        ." پھر رافی اسٹیئرنگ پر ایک بازو رکھ کر رابرٹ ٹائیلر کے انداز سے کہتا تھا۔
رکوع میں بڑائی بیان کرنےکا مطلب یہ ہے کہ سبحان ربی العظیم پڑھو سجدہ میں دعا مانگنے کا حکم دیا گیا ہے تو سمجھ لیجئے کہ دعا کی دو قسمیں ہوتی ہیں۔
رکوع ۲ (۱) اے میرے بچو!یہ باتیں میں تمہیں اس لئے لکھتا ہوں کہ تم گناہ نہ کرو اور اگر کوئی گناہ کرے تو پروردگار کے پاس ہمارے ایک مددگار موجود ہیں۔
رکوع ۲۱: نیا آسمان اور نئی زمین (۱)پھر میں نے ایک نئے آسمان اور نئی زمین کو دیکھا کیونکہ پہلا آسمان اور پہلی زمین جاتی رہی تھی اور سمندر بھی نہ رہا۔
رکوع ۲۷: سیدنا عیسی المسیح پیلاطس کے سامنے (۱) جب صبح ہوئی تو سب امام اعظم اور قوم کے بزرگوں نے سیدنا عیسی کے خلاف مشورہ کیا کہ آپ کو مار ڈالیں۔
رہا انسان کی اخلاقی زندگی کا مقصد اور اس کی تمام سعی و عمل کا نصب العین تو وہ بھی اسی تصور سے بالکل ایک منطقی لزوم کے ساتھ متعین ہوتا ہے۔
رہا لوہے کا منزل من اللہ ہونا، تو منکرین حدیث کے لیے یہ بڑی عجیب بات ہے مگر قرآن کے صاف الفاظ یہی ہیں کہ انزلنا الحدید "ہم نے لوہا اتارا" 41۔
رہبری کا دعوی ہے اور اتنی پسپائی ہم نے موتیاں چن کر لائیں گہرے پانی سے ناپتی رہی دنیا ساحلوں کی گہرائی اب تو یہ سمجھنا بھی دوستو ہوا مشکل کون ہے۔
رہرو منزل ہی نہیں تربیت عام تو ہے، جوہر قابل ہی نہیں جس سے تعمیر ہو آدم کی، یہ وہ گل ہی نہیں کوئی قابل ہو تو ہم شان کئی دیتے ہیں۔
رہن روکا نہ جائے محمد بن حمید، ابراہیم بن مختار، اسحاق بن راشد، سعید بن مسیب، حضرت ابو ہریرہ سے روایت ہے کہ اللہ کے رسول نے فرمایا رہن روکا نہ جائے۔
رہنما، چلتی دنیا، نیا سنسار، غریب کی آواز، فدائے قوم، سن آف انڈیا، ہم کسی سے کم نہیں، انصاری دنیا، صدائے حق، نقوش، عکس سنبھل، آفتاب، پنج بہادر، المہندی، وغیرہ پندرہ روزہ:۔
رہی یہ بات کہ اس موقعے پر تو آنحضرت صلی اللہ علیہ وسلم نے ابن عباس رضی اللہ عنہ سے اجازت مانگی لیکن پچھلی حدیث میں جو واقعہ ذکر کیا گیا ہے۔
رہی یہ بات کہ مادی قدروں کو اہمیت دیئے بغیر مادے کی ترقی کے بارے میں سوچا ہی نہیں جا سکتا تو یہ ایک ایسا مبحث ہے جو بہت تفصیل چاہتا ہے۔
رہے وہ بدنصیب جن کے دل خوف خدا سے عاری اور محروم ہوتے ہیں، ان پر ان آیات و امثال کا کوئی اثر نہیں ہوتا، کہ پتھر پر جونک لگنا ممکن نہیں۔
ریاستی دور میں شخصی نظام حکومت کی معروف خرابیوں کے باوجود لوگ سوات کو سواتیوں کے لئے سمجھتے تھے اور خود کو ایک آزاد اور خود مختار ملک کے شہری سمجھتے تھے۔
ریاض کو کہا: ’’پی آر والوں کو بھی بٹھائے رکھو، شاید کوئی ڈرافٹ اوکے ہو کے آ جائے، پریس اسٹیٹمنٹ ریلیز کرانے کے لیے پی آر والوں کو کہاں ڈھونڈتے پھریں گے۔
ریاض کے نوٹس میں تھا کہ جب مسٹر رضوانی پری میچور ریٹائرمنٹ سے بچنے کے لیے یہ سکیم بنوا رہے تھے تو دراصل یہ سب کچھ وہ اپنے لیے کر رہے تھے۔
ریشم آپا نے پلٹ کر مجھے یوں دیکھا جیسے ان کو حیرت ہوئی ہو پھر دوسرے ہی پل بڑی خوب صورت سی ہنسی ان کے چہرے پر نور کی طرح برس گئی۔
ریل گاڑی کا پورا واقعہ عدنان نے اسے بتا دیا پھر وہ کس طرح سوٹ کیس لے کر نا سک چلا آیا یہ باتیں بھی اس نے اسے تفصیل سے بتا دیں۔
ز خود بہتری جوی و فرصت شمار کہ با چون خودی گم کنی روزگار گفت : چندین برین نمط بگفتم کہ گمان بردم کہ دلش برقید من آمد و صید من شد۔
زبان دہلی اور لکھنؤ کی زبان علّامہ نظم طباطبائی اور سجاد مرزا بیگ کے درمیان ایک فکر انگیز ’مناظرہ‘ ( علّامہ نظم طباطبائی نے غالبؔ کے شعر ؂ مستانہ طے کروں ہوں۔
زبان کو ہر نئے انداز سے برتنے کی کوشش کی ہے اور زبان کی صوتی، صرفی، نحوی اور معنیاتی سطحوں پر اس کے تخلیقی امکانات کو ڈھونڈنکالنے کی پوری کوشش کی ہے۔
زبان کی شہرت کے اسباب پر جب غور کیجیے تو یہی لوگ معلوم ہوتے ہیں جن کے نام گذرے اور ان کے کلام کی شہرت نے اس زبان کو مانوس کر دیا۔
زبان کے اعتبار سے بھی اگر دیکھا جائے تو یہ محاورہ عجیب و غریب ہے کہ اس میں ’از‘ کا لفظ شروع میں آیا ہے، جو سر تا سر فارسی لفظ ہے۔
زبان ہمارے اعضا میں شرارت کا ایک عالم ہے اور سارے جسم کو داغ لگاتی ہے اور دائرۂ دنیا کو آگ لگا دیتی ہے اور جہنم کی آگ سے جلتی رہتی ہے۔
زبر خان نے اس سارے معاملے سے کوئی تعلق نہ رکھا ہوا تھا اور شاید یہی وجہ تھی کہ بڑے خان کو اپنی سرحد پر زبر خان کی موجودگی نہ کھٹکی تھی۔
زبردست رحم والا جھٹلایا عاد نے پیغام لانے والوں کو جب کہا ان کو ان کے بھائی ہود نے کیا تم کو ڈر نہیں میں تمہارے پاس پیغام لانے والا معتبر ہوں۔
زبردستی کسی پر نہیں کی جاسکتی، لیکن جو مان لیں انہیں اس علم کے آگے سر تسلیم خم کرنا چاہیے، جہاں اختیار ہو، وہاں اس علم کے مطابق چلنا اور چلانا چاہیے۔
زرد روز بہ روز اس جواں کو میں کر نالہ کشی کب تئیں اوقات گزاریں فریاد کریں کس سے کہاں جا کے پکاریں ہر دم کا بگڑنا تو کچھ اب چھوٹا ہے۔
زعفران کی اور رسول اللہ صلی اللہ علیہ و آلہ و سلم کسی شخص کے سامنے ہونے پر اگر کوئی ناگوار بات دیکھتے تو بہت کم اس کے سامنے بیان کرتے تھے۔
زمانہ جاہلیت کا قاعدہ تھا اگر کوئی کسی کو بیٹا بناتا تو لوگ اسی کی طرف منسوب کر کے پکارتے تھے اور اس کے مرنے کے بعد وہ وارث بھی ہوتا تھا۔
زمانہ دے تمہیں فرصت تو یاد کر لینا مطبوعہ:حسامیہ ہائی اسکول، ناگپور، سالانہ میگزین، ۱۹۷۴ء سوز خضرائی کی جدت پسندی کامٹی(ضلع ناگپور)کی ادبی تاریخ کا آغاز ۱۸۸۰ء کے آس پاس ہوتا ہے۔
زمانۂ حال کی ’کھڑی بولی ہندی‘ اس کھڑی بولی کی بنیاد پر تعمیر کی گئی ہے جس نے شمالی ہندوستان میں بارہویں صدی میں ’اردو ‘ کا روپ اختیار کر لیا تھا۔
زمانے کا تقاضا انجمن اور بے خلوت نہیں سوز سخن! پیر رومی خلوت از اغیار باید، نے ز یار پوستیں بہر دے آمد، نے بہار مرید ہندی ہند میں اب نور ہے۔
زمینداروں جاگیرداروں بڑے بڑے ساہوکاروں بادشاہوں اور نوابوں کے یہاں جب خوشی کے جشن منائے جاتے تھے تو عام طور پر سارے شہر یا علاقے میں دھوم دھام کا ماحول ہوتا تھا۔
زناری ٭ ٭ ٭ ٭ خودی کی شوخی و تندی میں کبر و ناز نہیں جو ناز ہو بھی تو بے لذت نیاز نہیں نگاہ عشق دل زندہ کی تلاش میں ہے۔
زندگی اگر کھیل کا میدان ہے تو بڑھتی عمر اس میں داخلے کے دروازے بند کرتے کرتے پہلے تماشائیوں میں اور پھر وہاں سے بھی نکال کر خلاؤں میں چھوڑ آتی ہے۔
زندگی خود کو گنوا کے کون تری جستجو کرے اب تو یہ آرزو ہے کہ وہ زخم کھائیے تا زندگی یہ دل نہ کوئی آرزو کرے تجھ کو بھلا کے دل ہے۔
زندگی میری سہ نیم میں سہ نیم اور زندگی میری سہ نیم دوست داری، عشق بازی، روزگار زندگی میری سہ نیم! دوستوں میں دوست کچھ ایسے بھی ہیں جن سے وابستہ ہے۔
زندگی کے بنیادی مسائل کو حل کرنے کا دوسرا طریقہ یہ ہے کہ مشاہدے کے ساتھ قیاس و وہم سے کام لے کر ان مسائل کے متعلق کوئی رائے قائم کی جائے۔
زندگی کے نئے تقاضے جس میں فرد اپنے روحانی وجود کی شکست و ریخت سے نبرد آزما ہے اور اپنے ہر انسانی جذبے اور ہر جسمانی راحت کی قیمت ادا کرتا ہے۔
زندگی! آہ موہوم تمنّا کا مزار سرد ہاتھوں سے مری جان مرے ہونٹ نہ سی پھر وہی تاریک ماضی، پھر وہی بے کیف حال اور یہ میری محبت بھی تجھے جو ہے۔
زندہ شہر میں ہم جیسے کج کلاہ ابھی عادل حیات سلیقے سے اب اپنی زندگی کر لوں وہ مالک ہے تو اس کی چاکری کر لوں اندھیری رات گہری ہو رہی ہے۔
زنگ غفلت کا کال اسے صاف کر آرسی کا مثال الہی مجھے محرم راز کر خزانے حقیقت کے سب باز کر عطا کر مجھے قفل دل کی کلید جتے گنج مخفی ہیں۔
زور اور تاکید سے ثابت کرنے کے لئے بسا اوقات ایک طرف کی جو محتمل الثبوت ہو نفی مقصودا کی جاتی ہے اور دوسری طرف کی جو پہلے سے غیر محتمل ہے۔
زور نہیں وہ پہلا سا اب دریا میں ہاتھ میں چپّو تان لئے تو ڈرنا کیا عمر کٹے یا کٹ جائے شب دریا میں رنج نظر کا آخر آنکھ میں تیرے گا۔
زیادہ تر یورپی ممالک میں کھیت کسی فیوڈل لارڈ کی جاگیر ہوا کرتے تھے اور ان کھیتوں پر کام کرنے والے لوگ اس لارڈ کے غلام یا نیم غلام ہوا کرتے تھے۔
زیادہ تنقید کہہ رہی تھی، مظفرؔ بہت ہوا ایک آبشار تھا کہ روانی نہیں تھمی مظفرؔ وہ مرے فن کی بلندی دیکھتی کیسی ادھر تو دیکھ کر تنقید کی دستار گرتی ہے۔
زیادہ دیر نہیں گزری تھی کہ دروازے پر زور کا کھٹکا ہوا نازیہ کا دل سینے کا خول توڑ کرباہر نکلنے کوتھا کھٹکے کے ساتھ ہی شاہ زیب نے اسے آوازدی تھی۔
زیبو جو کبھی انار کے ادھ کھلے پھول کی طرح تھی، گلیوں میں سرخ سا فراک پہنے گھومتی رہتی تھی، اس کی نظروں کے سامنے بڑھتی بڑھتی سرو قد ہو گئی تھی۔
زید بن ثابت نے نبی صلی اللہ علیہ و آلہ و سلم سے کہ رسول اکرم صلی اللہ علیہ و آلہ و سلم کی دو رکعتیں ہوئیں اور قوم کی ایک رکعت۔
زید بن ثابت کو اکثر اپنی غیر حاضری میں اپنا جانشین مقرر کرتے تھے اور جب واپس آتے تھے تو کچھ نہ کچھ جاگیر کے طور پر ان کو عطا کرتے تھے۔
زیدیہ و امامیہ زیدیہ یہ جماعت زید بن علی بن حسین بن علی بن ابی طالب کی پیرو ہے اور شیعہ میں سب سے زیادہ معتدل اور اہل سنت کے قریب ہیں۔
زینب بن ام سلمہ جو اس وقت سب سے زیادہ دینی سمجھ رکھنے والی عورت تھیں، انہوں نے بھی یہی فتوی دیا اور عاصم بن عمرو کی بیوی نے بھی یہی بتایا۔
زینت مرے آنسوؤں کی قیمت کوئی کس طرح گرا دے ادھر اک نگاہ الفت، مری سمت اک تبسم مری روح کو جلا دے، مرے دل کو جگمگا دے ترا صادقؔ پریشاں ہے۔
س کی وجہ یہ ہے کہ ہم اس بات سے انکار نہیں کرتے کہ حکم بما انزل اللہ کی ایک صور ت جس کے بارے میں ابن تیمیہؒ بات کر رہے ہیں۔
سائب بن خباب کا انتقال ہو گیا تو ان کی بی بی عبداللہ بن عمر کے پاس آئیں اور اپنے خاوند کا مرنا بیان کیا اور کہا کہ میری کچھ کھیتی ہے۔
سائب بن یزید رضی اللہ عنہ فرماتے ہیں کہ حضور اقدس صلی اللہ علیہ وسلم کے بدن مبارک پر جنگ احد میں دو زرہیں تھیں جن کو اوپر نیچے پہن رکھا تھا۔
سائبر میں بیٹھے دوسرے لوگ چونک کر انھیں گھورنے لگتے ان کے اس انداز سے اس نے اندازہ لگایا جیسے وہ کسی بات پر بحث کر رہے ہیں یا جھگڑ رہے ہیں۔
سائل: اس حدیث کے بارے میں اور کیا کہا گیا ہے کہ یہ کسی اور چیز کے بارے میں بھی معلومات فراہم کرتی ہے جس کی بنیاد پر فیصلہ کیا جائے گا۔
سائلہ کو روزے رکھنے کے بارے میں آنحضرت صلی اللہ علیہ وآلہ وسلم کی اجازت کا مطلب یہ تھا کہ حقیقۃ روزہ نہ رکھو بلکہ حکما رکھو اور فدیہ کی ادائیگی ہے۔
سائنس میں اس نظریے کی حیثیت جیسی کچھ بھی ہو۱؂ معاشرت اور تمدن اور سیاست میں آ کر تو اس نے انسان کو انسان کے لیے بھیڑ یا بنا کر رکھ دیا۔
سابق صدر ڈاکٹر ذا کر حسین نے اردو کو ہندوستان کے تمام عقائد، مذاہب اور لسانی گروہوں کے درمیان رابطے کی زبان کی حیثیت سے قائم رکھنے کی اہمیت کو جتایا تھا۔
ساتھ رسول اللہ صلی اللہ علیہ و سلم کے مدینہ میں پھر ہم میں سے کوئی جاتا بنی عمرو بن عوف کے محلہ میں تو پاتا ان کو عصر کی نماز میں۔
ساتھ ساتھ مسکینوں کو عزت نفس اور خود داری کا درس دیتے تھے کہ وہ اپنے پاؤ ں پر کھڑے ہونے کی کوشش کریں اور کسی کے سہارے کے منتظر نہ رہیں۔
ساتھ ہی جابر و سر کش فرمانروا فرعون مصر کی بیوی کی مثال بیان کی گئی ہے اور اہل ایمان کے لیے اسوہ کے طور پر اس کا ذکر کیا گیا ہے۔
ساتھ ہی یہ شرط بھی عائد کر دی کہ ایسی حالت میں بھی نواب دیر کے لئے ضروری ہوگا کہ وہ حملہ کرنے سے قبل پولیٹیکل ایجنٹ سے اجازت حاصل کرے گا۔
ساحروں کی بڑی فوج اس کے ہمراہ تھی، انعام و اکرام کے وعدے ہو رہے تھے اور ہر طرح موسی کو شکست دینے اور حق کو مغلوب کر لینے کی فکر تھی۔
سادات پریس کے مالک ’’مسلم گزٹ سنبھل‘‘ اور ’’ مرقع ‘‘کے نگراں کی حیثیت سے اردو زبان و ادب صحافت اور کتابت و طباعت کے میدان میں کار ہائے نمایاں انجام دئے۔
سادھومہاراج نے اس کی بچی ہوئی رقم اس کے سپرد کر دی اور کہا ’’بیٹا تمھارا کام تو ہو گیا اب ان دونوں کو اجازت دو کہ یہ اپنے گھر چلے جائیں۔
سادہ لوح عوام اور بھولے بھالے جیالوں کا یہ خیال تھا کہ اپنے تکیہ کلام، دعوے اور انتخابی منشور کو عملی جامہ پہنانے کے لیے ان کے جذبات کا احترام کریں گے۔
سادہ مزاج جم جم سے رہی کچھ روز تو یہی تحریر پھر موافق ہوئی مری تقدیر ہوئے اس گل سے وصل کے اقرار اٹھ گئے درمیاں سے سب تکرار جو کہا تھا۔
سارا اور اس کے ساتھ اتنا ہی اور ہوتا کہ بدلہ میں دیں اپنے قیامت کے عذاب سے تو ان سے قبول نہ ہو گا اور ان کے واسطے عذاب دردناک ہے۔
سارا منظر دیدہ ور کوئی نہیں رہنمائی پر ہوں جس کی رہنما کل متفّق آج ملّت کا اب ایسا راہ بر کوئی نہیں زندگی میں اس کے مرنے کی دعا مانگیں ہیں۔
سارا گھر اس کی پیداوار سے آسودہ تھا، باپ کے زمانہ میں عادت تھی کہ جس دن میوہ توڑا جاتا یا کھیتی کٹتی تو شہر کے سب فقیر محتاج جمع ہو جاتے۔
ساری جنت میں جہاں کہیں چاہیں چریں چگیں اور ان قندیلوں میں آرام کریں ان کی طرف ان کے رب نے ایک مرتبہ نظر کی اور دریافت فرمایا کچھ اور چاہتے ہو؟
ساری دنیا کار آساں پر ہر اک ارض مقدس قتل گاہوں میں بدل جائے نہ لائے وہ قیامت کی گھڑی اللہ انساں پر سبھی چڑھتے ہوئے سورج کی پوجا کرنے والے ہیں۔
ساعتوں کا بدن بھی ہوا منجمد صبح دم کیں جو شبنم نے سرگوشیاں شاخ گل پر ہر اک گل ہوا منجمد ٭٭٭ *** ادھر سے لے کے انساں ادھر بانٹ دیتا ہے۔
ساقی کے ہاتھ میں بھی زیب دیں اور ان کی ہتھیلیوں پر بھلے معلوم ہوں اور پینے والوں کے حسب خواہش شراب طہور اس میں سما جائے جو نہ بچے نہ گھٹے۔
سالم بن عبد اللہ، حسن بصری، اور عطاء کا ابو داؤد کہتے ہیں کہ امام مالک نے کہا ہے کہ میں سمجھتا ہوں کہ سعید بن المسیب کی روایت یوں ہو گی۔
سالہاسال نے عمامہ کے بوجھ نے اس کی گردن کو ایک طرف اور نیچے جھکا دیا جس سے ایسا معلوم ہونے لگا جیسے کوئی آدمی تنگ دراڑ سے اوپر جھانک رہا ہو۔
سامان اتر گیا تو قطار در قطار سب کو لاؤنج سے سیدھے ہی باہر لے جایا گیا، اندر ایر پورٹ پر نہ سامان کی چیکنگ کی گئی نہ کسٹم کی جانچ پڑتال۔
سامنا ہو جائے تو اپنی ایمانداری کی داستان بیان کرنے بیٹھ جاتے ہیں لیکن جب ذرا الگ ہوتے ہیں تو غیظ و غضب سے جلن اور حسد سے اپنی انگلیاں چباتے ہیں۔
سامنے ہی مطعم الطیب سے صابرہ کے لئے ایک ریال کی دہی کا پیکنگ اور اپنے لئے وہی ’مکسڈ ویجیٹیبل کری' یعنی آلو، مٹر، گاجراور فرنچ بینس کا شوربہ معہ روٹیوں کے۔
ساون سے ادھر نخل امید میں کونپل ہی نہیں آ پاتی درد کی باد صبا سن سے ادھر سن سے ادھر دل کی دھڑ کن بھی اسی شور میں دب جاتی ہے۔
سب اس کی خوبصورت شرارتوں کو مالک کے پیار سے زیادہ ایک سچی، مخلص اور پیارے دوست کا حق سمجھ کر برداشت بھی کرتے اور موقع ملنے پر بدلہ بھی چکا دیتے۔
سب اپنی اپنی پیٹیاں باندھ لیں مستقبل کے سہانے سپنوں کے کیف وسرور میں جھومتا ہو اوہ ایر پورٹ پر اتراتو اس کے دوست نظر آ گئے جو اسے لینے آئے تھے۔
سب بندے پھر بچا لیا موسی کو اللہ نے برے داؤ سے جو کرتے تھے اور الٹ پڑا فرعون والوں پر بری طرح کا عذاب وہ آگ ہے کہ دکھلا دیتے ہیں۔
سب تدبیریں کچھ نہ دوا نے کام کیا دیکھا اس بیماری دل نے آخر کام تمام کیا عہد جوانی رو رو کاٹا پیر ی میں لیں آنکھیں موند یعنی رات بہت تھے۔
سب تعریفیں اللہ کے لئے ہیں جس نے پیدا کئے آسمان اور زمین اور بنایا اندھیرا اور اجالا پھر بھی یہ کافر اپنے رب کے ساتھ اوروں کو برابر کئے دیتے ہیں۔
سب دل کے پھپھولے لیکن بانٹنے آتا نہیں پاؤں کے چھالے کوئی سکھ دے سانجھی سبھے یار کوئی کوئی آن ونڈاوے دکھ ٭ کس طرح ہم نے گزاری رات یہ جانے گا۔
سب سمجھنے لگے کہ بچی گونگی ہے، تب تو ماں باپ کو بہت فکر ہوئی، اباجی مجھے ڈاکٹر کے پاس لے گئے، اس نے تسلی دی کہ زبان وغیرہ ٹھیک ٹھاک ہے۔
سب سے الگ اور سب سے ممتاز وہ انسانیت کا ایسا رہنما ہے جو تاریخ کے ساتھ حرکت () کرتا ہے اور ہر دور میں ویسا ہی جدید () نظر آتا ہے۔
سب سے بڑا اور انتہائی ہولناک خسارہ، والعیاذ باللہ العظیم ۷۳. سو جن کی بے بسی اور بے حقیقی کا عالم یہ ہو کہ وہ ایک مکھی بھی پیدا نہ کر سکیں۔
سب سے بڑا کام جو حضرت عمر رضی اللہ تعالی عنہ نے اس فن کے متعلق کیا، وہ حدیثوں کے تحقیق و تنقید اور فن جرح و تعدیل کا ایجاد کرنا تھا۔
سب سے پہلے ابو سلمہ عبد اللہ بن اشہل رضی اللہ تعالی عنہم پھر حضرت بلال رضی اللہ تعالی عنہ مؤذن اور عمار بن یاسر رضی اللہ تعالی عنہ نے ہجرت کی۔
سب سے پہلے حضرت اسرافیل علیہ السلام کو زندہ کرے گا اور انہیں حکم دے گا کہ دوبارہ نفخہ پھونکیں یہ تیسرا صور ہو گا جس سے ساری مخلوق جو مردہ تھی۔
سب سے پہلے فہیم اور مراد کا خلائی جہاز سفر پر نکلتا ہے، اسے ایک منظم رفتار میں خط مستقیم پر چلنا چاہیے، یعنی بغیر مڑے یا رفتار کم یا زیادہ کیے۔
سب لوگ بھاگ کر پول پر پہنچے جہاں کچھ لوگ ہکا بکا بت بنے کھڑے تھے اور کچھ پول کے آس پاس پریشانی اور سراسیمگی کے عالم میں بھاگ دوڑ رہے تھے۔
سب ملا کر سو ہو گئے الغرض سب لوگوں نے احرام کھولا اور بال کترائے مگر نبی صلی اللہ علیہ و آلہ و سلم اور جو لوگ اپنے ساتھ ہدی لائے تھے۔
سب ملا کر سو ہوئے پس سب لوگوں نے احرام کھول ڈالا اور بال کتروائے مگر رسول اللہ صلی اللہ علیہ و آلہ و سلم نے اور جن کے ساتھ ہدی تھی۔
